Filial;Pagador;Remetente;Origem;UF Origem;Destinatario;Destino;UF Destino;Endereco entrega;Bairro;CEP;Expedidor;Recebedor;Data frete;Prazo entrega;Tipo;Documento;Chave CT-e;Nº CT-e;Série;Emissão CT-e;Emissão NFS-e;NF;Qtd NF;Nº Pedidos;Nº Cotacao;Nº Coleta;CT-e 3º;Transportadora;AWB;Cia Aérea;Volumes;Kg Taxado;Kg Real;M3;Valor NF;Valor Frete;Valor Total do Serviço;Valor/Kg;% Frete/NF;Base Cálculo;% ICMS;Valor ICMS;% ICMS Antecipado;Valor ICMS Antecipado;Tabela de Preço;Classificação;Centro de Custo;Usuário
CWB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;IMPPAR (São Jose dos Pinhais);IMPPAR (São Jose dos Pinhais);São José dos Pinhais;PR;ALEXANDRE GIMENES;Santa Bárbara D'Oeste;SP;AMAZONAS, 477;VILA BRASIL;"=""13451090""";;;03/11/2025 06:41;06/11/2025 23:59;Frete de reentrega;39600/262460;"=""41251160960473000677570030000396001073766377""";"=""39600""";"=""3""";03/11/2025;;"=""43106""";"=""1""";;;;;;;;4;88,64;46,40;0,44;1.303,35;38,92;38,92;0,44;2,99;38,92;12,00;4,67;0,00;0,00;IMPPAR;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;GREAT WALL MOTOR BRASIL LTDA;Iracemápolis;SP;ROD LUIZ OMETTO, SN;GEADA;"=""13496540""";;;03/11/2025 07:33;05/11/2025 23:59;Frete normal;31268/262461;"=""35251160960473000758570030000312681319406545""";"=""31268""";"=""3""";03/11/2025;;"=""398944""";"=""1""";;;"=""71060""";;;;;1;37,50;37,50;0,00;1.858,81;11,07;11,07;0,30;0,60;11,07;12,00;1,33;0,00;0,00;PPG - RMC;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;CATERPILLAR BRASIL LTDA;Piracicaba;SP;R LUIZ DE QUEIROZ, SN;UNILESTE;"=""13420900""";;;03/11/2025 07:35;05/11/2025 23:59;Frete normal;31269/262462;"=""35251160960473000758570030000312691956487578""";"=""31269""";"=""3""";03/11/2025;;"=""398946""";"=""1""";;;"=""71060""";;;;;3;5.130,00;5.130,00;0,00;78.242,85;1.313,11;1.313,11;0,26;1,68;1.313,11;12,00;157,57;0,00;0,00;PPG - RMC;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;C C S TECNOLOGIA E SERVICOS SA;Limeira;SP;ROD SP.330 (VIA ANHANGUERA), SN;PIRES;"=""13486199""";;;03/11/2025 07:36;05/11/2025 23:59;Frete normal;31270/262463;"=""35251160960473000758570030000312701766903970""";"=""31270""";"=""3""";03/11/2025;;"=""398942""";"=""1""";"=""265160""";;"=""71060""";;;;;47;1.097,36;1.097,36;0,00;77.092,35;349,48;349,48;0,32;0,45;349,48;12,00;41,94;0,00;0,00;PPG - RMC;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;CNH INDUSTRIAL BRASIL LTDA;Piracicaba;SP;R JOSE COELHO PRATES JUNIOR, 1020;UNILESTE;"=""13422020""";;;03/11/2025 07:37;05/11/2025 23:59;Frete normal;31271/262464;"=""35251160960473000758570030000312711080931689""";"=""31271""";"=""3""";03/11/2025;;"=""398934""";"=""1""";;;"=""71060""";;;;;51;984,28;984,28;0,00;57.614,22;300,35;300,35;0,31;0,52;300,35;12,00;36,04;0,00;0,00;PPG - RMC;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;BENTELER COMPONENTES AUTOMOTIVOS LTDA;Campinas;SP;AV MARGINAL SUL ROD S DUMONT, 802;ZONA RURAL;"=""13054750""";;;03/11/2025 07:38;04/11/2025 23:59;Frete normal;31272/262465;"=""35251160960473000758570030000312721916876927""";"=""31272""";"=""3""";03/11/2025;;"=""398528""";"=""1""";;;"=""71060""";;;;;1;20,00;20,00;0,00;1,03;4,77;4,77;0,24;463,11;4,77;12,00;0,57;0,00;0,00;PPG - RMC;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;VULKAN DO BRASIL LTDA;Itatiba;SP;ROD ENGENHEIRO CONSTANCIO CINTRA SP 360, SN;BAIRRO DA PONTE;"=""13252200""";;;03/11/2025 07:39;05/11/2025 23:59;Frete normal;31273/262466;"=""35251160960473000758570030000312731717971293""";"=""31273""";"=""3""";03/11/2025;;"=""398945""";"=""1""";;;"=""71060""";;;;;40;212,40;212,40;0,00;8.708,93;60,59;60,59;0,29;0,70;60,59;12,00;7,27;0,00;0,00;PPG - RMC;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;TRIVIUM PACKAGING BRASIL FABRICACAO DE EMBALAGENS;Itupeva;SP;RODOVIA AKZO NOBEL, 680;SAO ROQUE DA CHAVE;"=""13295000""";;;03/11/2025 07:40;05/11/2025 23:59;Frete normal;31274/262467;"=""35251160960473000758570030000312741604187497""";"=""31274""";"=""3""";03/11/2025;;"=""398794""";"=""1""";;;"=""71060""";;;;;1;1.058,00;1.058,00;0,00;53.844,88;313,66;313,66;0,30;0,58;313,66;12,00;37,64;0,00;0,00;PPG - RMC;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;HMY DO BRASIL LTDA.;Jundiaí;SP;AV JOSE BENASSI, 1001;LOTEAMENTO PARQUE INDUSTRIAL;"=""13213085""";;;03/11/2025 07:40;06/11/2025 23:59;Frete normal;31275/262468;"=""35251160960473000758570030000312751368432273""";"=""31275""";"=""3""";03/11/2025;;"=""398920""";"=""1""";;;"=""71060""";;;;;80;2.099,20;2.099,20;0,00;47.288,50;554,68;554,68;0,26;1,17;554,68;12,00;66,56;0,00;0,00;PPG - RMC;FRACIONADO - LTL;;Camila Melo - Administrativo (CPQ)
REC - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;GAV MURO ALTO 2 EMPREENDIMENTO IMOBILIARIO SPE LTD;PARAISO DO BEBE;Jaboatão dos Guararapes;PE;GAV MURO ALTO 2 EMPREENDIMENTO IMOBILIARIO SPE LTD;Ipojuca;PE;R MA 01, SN;MURO ALTO;"=""55590000""";REC - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 08:34;05/11/2025 23:59;Frete normal;7186/262469;"=""26251160960473000839570030000071861060284014""";"=""7186""";"=""3""";03/11/2025;;"=""8698""";"=""1""";;;;;;;;10;100,00;100,00;0,00;12.490,00;2.515,72;2.515,72;25,16;20,14;2.515,72;20,50;515,72;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Umberlani Silva - Administrativo (REC)
