Filial;Remetente;Destinatário;Faturado;Origem;Estado Origem;Destino;Estado Destino;Doc/Minuta;Data Frete;N° Referência;N° Manifesto;Nota Fiscal;Agente de Entrega;Agente de Coleta;Ocorrência;Data Ocorrência;Observações ocorrência
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | CACHOEIRINHA | 0014-33;FRIGELAR | RIO DE JANEIRO | 0008-95;FRIGELAR | RIO DE JANEIRO | 0008-95;Cachoeirinha;RS;Rio de Janeiro;RJ;2972/258117;27/10/2025 17:18;;;"=""992836""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | CACHOEIRINHA | 0014-33;ATLAS MRO comercio de EQUIPAMENTOS INDUSTRIAIS LTDA;FRIGELAR | CACHOEIRINHA | 0014-33;Cachoeirinha;RS;Belford Roxo;RJ;2973/258129;27/10/2025 17:23;;;"=""993123""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;FRIO TEC REFRIGERACAO E CLIMATIZACAO LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1958/259350;28/10/2025 19:17;;;"=""730658""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;JCR COMERCIO E SERVICOS EM REFRIGERACAO LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1959/259354;28/10/2025 19:19;;;"=""730660""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;ELI REFRIGERACAO E BAZAR DO VILAR LTDA - ME;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Belford Roxo;RJ;1960/259358;28/10/2025 19:20;;;"=""730572""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;REFRITRONICOS COMERCIO E SERVICOS TECNICOS LTDA ME;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1962/259364;28/10/2025 19:22;;;"=""730521""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;DAKOTTON CONFECCOES LTDA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;São Gonçalo;RJ;1963/259367;28/10/2025 19:23;;;"=""730375""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;Gilberto Bispo de Roma Junior;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1971/259373;28/10/2025 19:24;;;"=""730376""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;Kaio Rezende;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1972/259378;28/10/2025 19:25;;;"=""730393""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;MARCELO PEREIRA;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;Rio de Janeiro;RJ;1973/259382;28/10/2025 19:27;;;"=""730395""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;TOWER PLAST LTDA;ALEKSANDER DAVID TERAN FERREIRA 02599183774;ALEKSANDER DAVID TERAN FERREIRA 02599183774;São José dos Pinhais;PR;Rio de Janeiro;RJ;39275/259995;29/10/2025 17:00;;;"=""10664""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;GOWSH SHOP;Mariane Prado da Silva Honorato;GOWSH SHOP;Curitiba;PR;Rio de Janeiro;RJ;39292/260220;29/10/2025 18:05;;;"=""992""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;GOWSH SHOP;Francesco Mendonca de Santis Sica;GOWSH SHOP;Curitiba;PR;Rio de Janeiro;RJ;39312/260246;29/10/2025 18:18;;;"=""991""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;GR SERVICOS E ALIMENTACAO LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;São Gonçalo;RJ;39317/260264;29/10/2025 18:34;;;"=""188616""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;GR SERVICOS E ALIMENTACAO LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;São Gonçalo;RJ;39317/260264;29/10/2025 18:34;;;"=""188615""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;TATIANE B. S. SANTOS;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;Rio de Janeiro;RJ;39318/260265;29/10/2025 18:35;;;"=""188588""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;SODEXO DO BRASIL COMERCIAL LTDA;Platinox Comercio de Equipamento para Gastronomia Ltda.- ME;Curitiba;PR;Rio de Janeiro;RJ;39322/260275;29/10/2025 18:41;;;"=""188576""";;;Mercadoria em Transferência;02/11/2025 12:14;Manifesto 48048 - SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA - TRANSFERÊNCIA
