Entidade;Nome_Campo_API;Exemplo_Valor
cotacoes;allProperties.requested_at;2026-02-06T00:00:00.000-03:00
cotacoes;allProperties.sequence_code;97676
cotacoes;allProperties.qoe_qes_fon_name;FRACIONADA
cotacoes;allProperties.qoe_cor_document;04137177000195
cotacoes;allProperties.qoe_cor_name;TRANSPORTADORA JACAREI LTDA.
cotacoes;allProperties.qoe_cor_nickname;JCR - TRANSPORTADORA JACAREI | PARCEIRO JACAREÍ
cotacoes;allProperties.qoe_qes_ony_name;Osasco
cotacoes;allProperties.qoe_qes_ony_sae_code;SP
cotacoes;allProperties.qoe_qes_diy_name;Bauru
cotacoes;allProperties.qoe_qes_diy_sae_code;SP
cotacoes;allProperties.qoe_qes_cre_name;PADRÃO 
cotacoes;allProperties.qoe_qes_invoices_volumes;2
cotacoes;allProperties.qoe_qes_taxed_weight;871.2
cotacoes;allProperties.qoe_qes_invoices_value;50002.26
cotacoes;allProperties.qoe_qes_total;862.89
cotacoes;allProperties.qoe_uer_name;Victória Karolline - Comercial (MTZ)
cotacoes;allProperties.qoe_crn_psn_nickname;SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA
cotacoes;allProperties.qoe_crn_psn_name;RODOGARCIA TRANSPORTES RODOVIARIOS LTDA
cotacoes;allProperties.qoe_qes_sdr_document;04137177000195
cotacoes;allProperties.qoe_qes_sdr_nickname;JCR - TRANSPORTADORA JACAREI | PARCEIRO JACAREÍ
cotacoes;allProperties.qoe_qes_rpt_document;
cotacoes;allProperties.qoe_qes_origin_postal_code;06268000
cotacoes;allProperties.qoe_qes_destination_postal_code;17047010
cotacoes;allProperties.qoe_qes_real_weight;180.0
cotacoes;allProperties.qoe_qes_freight_comments;
cotacoes;allProperties.requester_name;Valeria - whats
cotacoes;allProperties.qoe_qes_itr_subtotal;0.0
cotacoes;allProperties.qoe_qes_tde_subtotal;0.0
cotacoes;allProperties.qoe_qes_collect_subtotal;0.0
cotacoes;allProperties.qoe_qes_delivery_subtotal;0.0
cotacoes;allProperties.qoe_qes_other_fees;0.0
cotacoes;requested_at;2026-02-06T00:00:00.000-03:00
cotacoes;sequence_code;97676
cotacoes;qoe_qes_fon_name;FRACIONADA
cotacoes;qoe_cor_document;04137177000195
